,Unnamed: 0,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,CEC Plant ID,Energy_Source,Lng,Lat,TAC_AREA_ID,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT
1497,1497,AS_SP15,GEN,TMPLTN_2_SOLAR,TEMPLE21_7_N002,30907_TEMPLE21_21.0_GU2,22M7_DB114,2022-07-28T00:00:00,4916,S9292,SUN,-120.681375155,35.55777117,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1498,1498,AS_NP26,GEN,TOADTW_6_UNIT,TOADTWN_7_N002,31836_TOAD TWN_12.0_GU1,22M7_DB114,2022-07-28T00:00:00,4918,H0518,WAT,-121.593361804,39.8934616340001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1499,1499,AS_NP15,GEN,TOADTW_6_UNIT,TOADTWN_7_N002,31836_TOAD TWN_12.0_GU1,22M7_DB114,2022-07-28T00:00:00,4918,H0518,WAT,-121.593361804,39.8934616340001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1500,1500,AS_NP26,GEN,TOPAZ_2_SOLAR,TOPAZC1_7_N021,36427_TOPAZC1 _34.5_GUG1,22M7_DB114,2022-07-28T00:00:00,4922,S0245,SUN,-120.061929584,35.376170255,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1501,1501,AS_SP15,GEN,TOPAZ_2_SOLAR,TOPAZC1_7_N021,36427_TOPAZC1 _34.5_GUG1,22M7_DB114,2022-07-28T00:00:00,4922,S0245,SUN,-120.061929584,35.376170255,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1502,1502,AS_SP26,GEN,TORTLA_1_SOLAR,LNGBATGN_7_N001,24760_LNGBATGN_33.0_GUS,22M7_DB114,2022-07-28T00:00:00,4926,S0545,SUN,-117.102378218,34.9057242710001,TAC_ECNTR,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1503,1503,AS_SP15,GEN,TORTLA_1_SOLAR,LNGBATGN_7_N001,24760_LNGBATGN_33.0_GUS,22M7_DB114,2022-07-28T00:00:00,4926,S0545,SUN,-117.102378218,34.9057242710001,TAC_ECNTR,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1504,1504,AS_NP26,GEN,TRNQLT_2_SOLAR,Q643XC2_7_N001,34338_Q643XC2 _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,4959,S0526,SUN,-120.400614487,36.5779859290001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1505,1505,AS_NP15,GEN,TRNQLT_2_SOLAR,Q643XC2_7_N001,34338_Q643XC2 _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,4959,S0526,SUN,-120.400614487,36.5779859290001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1506,1506,AS_SP26,GEN,TRNSWD_1_QF,TRANWND_1_N001,25637_TRANWND _115_GUQF,22M7_DB114,2022-07-28T00:00:00,4960,W0452,WND,-116.718346588,33.914878964,TAC_ECNTR,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
