,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long,Unnamed: 10,TAC_AREA_ID,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT
253,AS_SP15,GEN,UCMTG_6_FCELL,UCM_6_N110,22864_UCM  _69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4988,32.88217453,-117.223001,,TAC_SOUTH,TAC_SOUTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
266,AS_SP26,GEN,EGATE_7_NOCITY,EASTGATE_6_N004,22204_EASTGATE_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,1176,32.88485546,-117.2007272,,TAC_SOUTH,TAC_SOUTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
267,AS_SP15,GEN,EGATE_7_NOCITY,EASTGATE_6_N004,22204_EASTGATE_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,1176,32.88485546,-117.2007272,,TAC_SOUTH,TAC_SOUTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
268,AS_SP26,GEN,MRGT_6_MEF2,MRGT_6_NODE1,22487_MEF MR2 _13.8_GUQ,22M7_DB114,2022-07-28 0:00:00,2518,32.87603634,-117.1655337,,TAC_SOUTH,TAC_SOUTH,,2022-03-30T00:00:00,2030-12-31T23:59:59,2022-03-30T07:00:00-00:00,2031-01-01T07:59:59-00:00
269,AS_SP15,GEN,MRGT_6_MEF2,MRGT_6_NODE1,22487_MEF MR2 _13.8_GUQ,22M7_DB114,2022-07-28 0:00:00,2518,32.87603634,-117.1655337,,TAC_SOUTH,TAC_SOUTH,,2022-03-30T00:00:00,2030-12-31T23:59:59,2022-03-30T07:00:00-00:00,2031-01-01T07:59:59-00:00
284,AS_SP15,GEN,MRGT_6_MMAREF,MIRAMREF_7_B1,22489_MIRAMREF_13.8_GUEF,22M7_DB114,2022-07-28 0:00:00,2519,32.89401659,-117.1354521,,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
285,AS_SP26,GEN,MRGT_6_MMAREF,MIRAMREF_7_B1,22489_MIRAMREF_13.8_GUEF,22M7_DB114,2022-07-28 0:00:00,2519,32.89401659,-117.1354521,,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
298,AS_SP15,GEN,CCRITA_7_RPPCHF,CHCARITA_1_N012,22124_CHCARITA_138_GUM1,22M7_DB114,2022-07-28 0:00:00,581,32.96000101,-117.0898248,,TAC_SOUTH,TAC_SOUTH,,2020-03-07T00:00:00,2030-12-31T23:59:59,2020-03-07T08:00:00-00:00,2031-01-01T07:59:59-00:00
299,AS_SP26,GEN,CCRITA_7_RPPCHF,CHCARITA_1_N012,22124_CHCARITA_138_GUM1,22M7_DB114,2022-07-28 0:00:00,581,32.96000101,-117.0898248,,TAC_SOUTH,TAC_SOUTH,,2020-03-07T00:00:00,2030-12-31T23:59:59,2020-03-07T08:00:00-00:00,2031-01-01T07:59:59-00:00
348,AS_SP26,GEN,BLM W_2_COSBT1,BLM W_2_COSBT1GN,GN-COSBT1_GU,22M7_DB114,2022-07-28 0:00:00,342,33.13704175,-117.3354643,,TAC_ECNTR,TAC_ECNTR,,2022-07-08T00:00:00,2030-12-31T23:59:59,2022-07-08T07:00:00-00:00,2031-01-01T07:59:59-00:00
349,AS_SP15,GEN,BLM W_2_COSBT1,BLM W_2_COSBT1GN,GN-COSBT1_GU,22M7_DB114,2022-07-28 0:00:00,342,33.13704175,-117.3354643,,TAC_ECNTR,TAC_ECNTR,,2022-07-08T00:00:00,2030-12-31T23:59:59,2022-07-08T07:00:00-00:00,2031-01-01T07:59:59-00:00
