,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,CEC Plant ID,Lng,Lat
1588,AS_SP26,GEN,VESTAL_2_UNIT1,VESTAL_6_N024,24152_VESTAL  _66.0_GUCP,22M7_DB114,2022-07-28T00:00:00,5098,G1020,-119.302932758,36.000907145
1589,AS_SP15,GEN,VESTAL_2_UNIT1,VESTAL_6_N024,24152_VESTAL  _66.0_GUCP,22M7_DB114,2022-07-28T00:00:00,5098,G1020,-119.302932758,36.000907145
1590,AS_SP15,GEN,VESTAL_2_WELLHD,VESTAL_6_N020,24152_VESTAL  _66.0_GUWH,22M7_DB114,2022-07-28T00:00:00,5099,G1049,-119.294486294,35.7907794750001
1591,AS_SP26,GEN,VESTAL_2_WELLHD,VESTAL_6_N020,24152_VESTAL  _66.0_GUWH,22M7_DB114,2022-07-28T00:00:00,5099,G1049,-119.294486294,35.7907794750001
1592,AS_SP15,GEN,VESTAL_6_QF,VESTAL_6_N006,24152_VESTAL  _66.0_GUQF,22M7_DB114,2022-07-28T00:00:00,5103,H0094,-118.481906035,35.644109585
1593,AS_SP26,GEN,VESTAL_6_QF,VESTAL_6_N006,24152_VESTAL  _66.0_GUQF,22M7_DB114,2022-07-28T00:00:00,5103,H0094,-118.481906035,35.644109585
1594,AS_SP15,GEN,VESTAL_6_ULTRGN,VESTAL_6_N002,24152_VESTAL  _66.0_GUUG,22M7_DB114,2022-07-28T00:00:00,5104,C0018,-119.051288591,35.7415175400001
1595,AS_SP26,GEN,VESTAL_6_ULTRGN,VESTAL_6_N002,24152_VESTAL  _66.0_GUUG,22M7_DB114,2022-07-28T00:00:00,5104,C0018,-119.051288591,35.7415175400001
1596,AS_SP26,GEN,VICTOR_1_CREST,VICTOR_7_N003,24604_VICTOR  _33.0_GUC1,22M7_DB114,2022-07-28T00:00:00,5109,S0676,NaN,NaN
1597,AS_SP15,GEN,VICTOR_1_CREST,VICTOR_7_N003,24604_VICTOR  _33.0_GUC1,22M7_DB114,2022-07-28T00:00:00,5109,S0676,NaN,NaN
1598,AS_SP26,GEN,VICTOR_1_EXSLRA,VICTOR_7_N004,24604_VICTOR  _33.0_GUSA,22M7_DB114,2022-07-28T00:00:00,5110,S0299,-117.342429583,34.5825232510001
1599,AS_SP15,GEN,VICTOR_1_EXSLRA,VICTOR_7_N004,24604_VICTOR  _33.0_GUSA,22M7_DB114,2022-07-28T00:00:00,5110,S0299,-117.342429583,34.5825232510001
