AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP
AS_NP26,LOAD,PGROVE_6_LD1,PNEGRVE_6_N002,33608_PNE GRVE_60.0_LD1,22M7_DB114,2022-07-28T00:00:00,3325
AS_NP15,LOAD,PGROVE_6_LD1,PNEGRVE_6_N002,33608_PNE GRVE_60.0_LD1,22M7_DB114,2022-07-28T00:00:00,3325
AS_NP26,LOAD,PGROVE_6_LD2,PNEGRVE_6_N001,33608_PNE GRVE_60.0_LD2,22M7_DB114,2022-07-28T00:00:00,3326
AS_NP15,LOAD,PGROVE_6_LD2,PNEGRVE_6_N001,33608_PNE GRVE_60.0_LD2,22M7_DB114,2022-07-28T00:00:00,3326
AS_NP26,GEN,PGSB_1_PDRP04,PGSB_1_PDRP04-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3327
AS_NP15,GEN,PGSB_1_PDRP04,PGSB_1_PDRP04-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3327
AS_NP26,GEN,PGSB_1_PDRP08,PGSB_1_PDRP08-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3328
AS_NP15,GEN,PGSB_1_PDRP08,PGSB_1_PDRP08-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3328
AS_NP26,GEN,PGSB_1_PDRP10,PGSB_1_PDRP10-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3329
AS_NP15,GEN,PGSB_1_PDRP10,PGSB_1_PDRP10-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3329
AS_NP26,GEN,PGSB_1_PDRP100,PGSB_1_PDRP100-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3330
AS_NP15,GEN,PGSB_1_PDRP100,PGSB_1_PDRP100-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3330
AS_NP26,GEN,PGSB_1_PDRP11,PGSB_1_PDRP11-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3331
AS_NP15,GEN,PGSB_1_PDRP11,PGSB_1_PDRP11-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3331
AS_NP26,GEN,PGSB_1_PDRP15,PGSB_1_PDRP15-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3332
AS_NP15,GEN,PGSB_1_PDRP15,PGSB_1_PDRP15-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3332
AS_NP26,GEN,PGSB_1_PDRP17,PGSB_1_PDRP17-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3333
AS_NP15,GEN,PGSB_1_PDRP17,PGSB_1_PDRP17-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3333
AS_NP15,GEN,PGSB_1_PDRP18,PGSB_1_PDRP18-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3334
AS_NP26,GEN,PGSB_1_PDRP18,PGSB_1_PDRP18-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3334
AS_NP15,GEN,PGSB_1_PDRP19,PGSB_1_PDRP19-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3335
AS_NP26,GEN,PGSB_1_PDRP19,PGSB_1_PDRP19-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3335
AS_NP26,GEN,PGSB_1_PDRP24,PGSB_1_PDRP24-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3336
AS_NP15,GEN,PGSB_1_PDRP24,PGSB_1_PDRP24-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3336
AS_NP15,GEN,PGSB_1_PDRP25,PGSB_1_PDRP25-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3337
AS_NP26,GEN,PGSB_1_PDRP25,PGSB_1_PDRP25-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3337
AS_NP15,GEN,PGSB_1_PDRP29,PGSB_1_PDRP29-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3338
AS_NP26,GEN,PGSB_1_PDRP29,PGSB_1_PDRP29-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3338
AS_NP26,GEN,PGSB_1_PDRP30,PGSB_1_PDRP30-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3339
AS_NP15,GEN,PGSB_1_PDRP30,PGSB_1_PDRP30-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3339
AS_NP15,GEN,PGSB_1_PDRP31,PGSB_1_PDRP31-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3340
AS_NP26,GEN,PGSB_1_PDRP31,PGSB_1_PDRP31-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3340
AS_NP26,GEN,PGSB_1_PDRP32,PGSB_1_PDRP32-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3341
AS_NP15,GEN,PGSB_1_PDRP32,PGSB_1_PDRP32-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3341
AS_NP26,GEN,PGSB_1_PDRP33,PGSB_1_PDRP33-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3342
AS_NP15,GEN,PGSB_1_PDRP33,PGSB_1_PDRP33-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3342
AS_NP15,GEN,PGSB_1_PDRP34,PGSB_1_PDRP34-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3343
AS_NP26,GEN,PGSB_1_PDRP34,PGSB_1_PDRP34-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3343
AS_NP15,GEN,PGSB_1_PDRP35,PGSB_1_PDRP35-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3344
AS_NP26,GEN,PGSB_1_PDRP35,PGSB_1_PDRP35-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3344
AS_NP15,GEN,PGSB_1_PDRP36,PGSB_1_PDRP36-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3345
AS_NP26,GEN,PGSB_1_PDRP36,PGSB_1_PDRP36-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3345
AS_NP15,GEN,PGSB_1_PDRP42,PGSB_1_PDRP42-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3346
AS_NP26,GEN,PGSB_1_PDRP42,PGSB_1_PDRP42-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3346
AS_NP26,GEN,PGSB_1_PDRP43,PGSB_1_PDRP43-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3347
AS_NP15,GEN,PGSB_1_PDRP43,PGSB_1_PDRP43-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3347
AS_NP26,GEN,PGSB_1_PDRP44,PGSB_1_PDRP44-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3348
AS_NP15,GEN,PGSB_1_PDRP44,PGSB_1_PDRP44-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3348
AS_NP26,GEN,PGSB_1_PDRP45,PGSB_1_PDRP45-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3349
AS_NP15,GEN,PGSB_1_PDRP45,PGSB_1_PDRP45-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3349
AS_NP15,GEN,PGSB_1_PDRP46,PGSB_1_PDRP46-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3350
AS_NP26,GEN,PGSB_1_PDRP46,PGSB_1_PDRP46-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3350
AS_NP15,GEN,PGSB_1_PDRP47,PGSB_1_PDRP47-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3351
AS_NP26,GEN,PGSB_1_PDRP47,PGSB_1_PDRP47-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3351
AS_NP26,GEN,PGSB_1_PDRP48,PGSB_1_PDRP48-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3352
AS_NP15,GEN,PGSB_1_PDRP48,PGSB_1_PDRP48-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3352
AS_NP15,GEN,PGSB_1_PDRP49,PGSB_1_PDRP49-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3353
AS_NP26,GEN,PGSB_1_PDRP49,PGSB_1_PDRP49-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3353
AS_NP15,GEN,PGSB_1_PDRP50,PGSB_1_PDRP50-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3354
AS_NP26,GEN,PGSB_1_PDRP50,PGSB_1_PDRP50-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3354
AS_NP26,GEN,PGSB_1_PDRP51,PGSB_1_PDRP51-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3355
AS_NP15,GEN,PGSB_1_PDRP51,PGSB_1_PDRP51-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3355
AS_NP26,GEN,PGSB_1_PDRP52,PGSB_1_PDRP52-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3356
AS_NP15,GEN,PGSB_1_PDRP52,PGSB_1_PDRP52-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3356
AS_NP15,GEN,PGSB_1_PDRP53,PGSB_1_PDRP53-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3357
AS_NP26,GEN,PGSB_1_PDRP53,PGSB_1_PDRP53-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3357
AS_NP15,GEN,PGSB_1_PDRP54,PGSB_1_PDRP54-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3358
AS_NP26,GEN,PGSB_1_PDRP54,PGSB_1_PDRP54-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3358
AS_NP15,GEN,PGSB_1_PDRP55,PGSB_1_PDRP55-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3359
AS_NP26,GEN,PGSB_1_PDRP55,PGSB_1_PDRP55-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3359
AS_NP15,GEN,PGSB_1_PDRP56,PGSB_1_PDRP56-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3360
AS_NP26,GEN,PGSB_1_PDRP56,PGSB_1_PDRP56-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3360
AS_NP26,GEN,PGSB_1_PDRP57,PGSB_1_PDRP57-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3361
AS_NP15,GEN,PGSB_1_PDRP57,PGSB_1_PDRP57-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3361
AS_NP15,GEN,PGSB_1_PDRP58,PGSB_1_PDRP58-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3362
AS_NP26,GEN,PGSB_1_PDRP58,PGSB_1_PDRP58-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3362
AS_NP26,GEN,PGSB_1_PDRP60,PGSB_1_PDRP60-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3363
AS_NP15,GEN,PGSB_1_PDRP60,PGSB_1_PDRP60-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3363
AS_NP15,GEN,PGSB_1_PDRP63,PGSB_1_PDRP63-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3364
AS_NP26,GEN,PGSB_1_PDRP63,PGSB_1_PDRP63-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3364
AS_NP26,GEN,PGSB_1_PDRP64,PGSB_1_PDRP64-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3365
AS_NP15,GEN,PGSB_1_PDRP64,PGSB_1_PDRP64-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3365
AS_NP26,GEN,PGSB_1_PDRP66,PGSB_1_PDRP66-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3366
AS_NP15,GEN,PGSB_1_PDRP66,PGSB_1_PDRP66-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3366
AS_NP15,GEN,PGSB_1_PDRP67,PGSB_1_PDRP67-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3367
