PNODE_ID,AS_ID,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long,Unnamed: 10,LINK
CABRILLO_6_N001,AS_SP26,LOAD,CBRLLO_6_LD30,22092_CABRILLO_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,574,32.707366,-117.244947,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=CABRILLO_6_N001
CABRILLO_6_N004,AS_SP15,LOAD,CBRLLO_6_LD31,22092_CABRILLO_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,575,32.707403,-117.245219,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=CABRILLO_6_N004
CABRILLO_6_N011,AS_SP15,GEN,CBRLLO_6_PLSTP1,22092_CABRILLO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,576,32.707502,-117.245154,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=CABRILLO_6_N011
CABRILLO_1_N001,AS_NP26,LOAD,CABRIL_1_LD1,36294_CABRILLO_115_LD1,22M7_DB114,2022-07-28 0:00:00,462,32.707502,-117.244949,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=CABRILLO_1_N001
POINTLMA_6_N021,AS_SP15,GEN,PTLOMA_6_NTCCGN,22660_POINTLMA_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,3686,32.741591,-117.233583,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=POINTLMA_6_N021
POINTLMA_6_N001,AS_SP15,GEN,PTLOMA_6_NTCQF,22660_POINTLMA_69.0_GUQF,22M7_DB114,2022-07-28 0:00:00,3687,32.741645,-117.233322,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=POINTLMA_6_N001
POINTLMA_6_N013,AS_SP26,LOAD,PTLOMA_6_LD30,22660_POINTLMA_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,3683,32.741447,-117.233264,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=POINTLMA_6_N013
POINTLMA_6_N014,AS_SP26,LOAD,PTLOMA_6_LD31,22660_POINTLMA_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,3684,32.741431,-117.233499,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=POINTLMA_6_N014
PACFCBCH_6_N001,AS_SP15,LOAD,PACBCH_6_LD30,22620_PACFCBCH_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,2817,32.799242,-117.240199,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=PACFCBCH_6_N001
PACFCBCH_6_N004,AS_SP26,LOAD,PACBCH_6_LD31,22620_PACFCBCH_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2818,32.799203,-117.24035,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=PACFCBCH_6_N004
OLDTOWN_6_N001,AS_SP15,LOAD,OLDTWN_6_LD31,22592_OLD TOWN_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2730,32.766227,-117.192417,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=OLDTOWN_6_N001
SPRNGVLY_6_N001,AS_SP26,LOAD,SPNGVY_6_LD30,22796_SPRNGVLY_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4701,32.739049,-117.00266,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=SPRNGVLY_6_N001
SPRNGVLY_6_N010,AS_SP15,LOAD,SPNGVY_6_LD31,22796_SPRNGVLY_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4702,32.739041,-117.002856,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=SPRNGVLY_6_N010
JAMACHA_6_N015,AS_SP26,LOAD,JMACHA_6_LD30,22364_JAMACHA _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1867,32.744049,-116.95742,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=JAMACHA_6_N015
JAMACHA_6_N006,AS_SP26,LOAD,JMACHA_6_LD31,22364_JAMACHA _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1868,32.744039,-116.95708,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=JAMACHA_6_N006
JAMACHA_6_N001,AS_SP26,LOAD,JMACHA_6_LD32,22364_JAMACHA _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,1869,32.744259,-116.9573,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=JAMACHA_6_N001
CHOLLAS_6_N001,AS_SP26,LOAD,CHOLLS_6_LD31,22132_CHOLLAS _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,659,32.74388,-117.046828,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=CHOLLAS_6_N001
CHOLLAS_6_N009,AS_SP15,LOAD,CHOLLS_6_LD32,22132_CHOLLAS _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,660,32.743722,-117.046944,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=CHOLLAS_6_N009
CHOLLAS_6_N008,AS_SP15,LOAD,CHOLLS_6_LD33,22132_CHOLLAS _69.0_LD20,22M7_DB114,2022-07-28 0:00:00,661,32.74369,-117.046676,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=CHOLLAS_6_N008
