OBJECTID,ID,TYPE,STATUS,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,OWNER,VOLTAGE,VOLT_CLASS,INFERRED,SUB_1,SUB_2,SHAPE__Len
"81180","305814","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.cpuc.ca.gov/environment/info/dudek/sbsrp/DR_16_SDGE_combined.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,TORREY PINES,UCSD,2797.466637276019810
"81181","305817","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/06/02,IMAGERY,2017/06/02,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,Y,ESCONDIDO,ESCONDIDO POWER PLANT,66.372435468362497
"81188","305915","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/Documents/Presentation-PreliminaryReliabilityAssessmentResults-Sep26_2013.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,SUNNYSIDE,MIGUEL,5882.394473840299725
"81314","307385","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/reti/documents/2008-11-12_local_agencies/maps/CREZ_Southern_CA.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,DUNHILL TAP,TORREY PINES,1179.456834673459980
"81347","311325","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.cpuc.ca.gov/environment/info/dudek/sbsrp/2_Purpose_and_Need.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,DIVISION,NAVAL STATION METERING,1522.592675609729895
"81446","309178","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/Documents/Presentation-PreliminaryReliabilityAssessmentResults-Sep26_2013.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,MELROSE,SAN LUIS REY,10574.820580935398539
"81547","310352","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,SUNCREST,SYCAMORE CANYON,52394.449667543798569
"81559","310570","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,500.000000000000000,"500",N,SUNCREST,IMPERIAL VALLEY,170848.902535642002476
"81613","311102","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,ELLIOTT,SYCAMORE CANYON,15726.228349443599654
"81712","312092","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.cpuc.ca.gov/environment/info/dudek/sbsrp/DR_16_SDGE_combined.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,DEL MAR,EASTGATE,16001.934672783600035
